name,city,state,country,reach,description,status,food-recovery-hierarchy,category,subcategories,solution,founded,website,facebook,twitter,linkedin,email
Baltimore Free Farm,Baltimore,MD,USA,Local,"Every Wednesday members of Baltimore Free Farm go to various produce distributors and grocers to rescue distressed goods: items too ripe to sell or on or just past their expiration date. We drive the 300-500 lbs of produce, dry goods, and bread 30 miles back to Baltimore Free Farm for redistribution into the community.",Nonprofit,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,2010,http://www.baltimorefreefarm.org/,https://www.facebook.com/baltimorefreefarm/,https://twitter.com/BmoreFreeFarm,,info@baltimorefreefarm.org
Bare Bites,Frederick,MD,USA,Local,"We are proud to be a woman-owned, dog-driven company. For our ""Brew Yahs"" product line, we obtain our spent grain from a local brewery and create delicious treats for your beast! ",For-Profit,Recycling,Specialty Recycled Products,Consumer Products,,2011,http://barebites.com/products/,http://www.facebook.com/BareBites,https://twitter.com/barebites,,info@barebites.com
Barnana,Santa Monica,CA,USA,National,"We are on a mission to eliminate food waste on organic banana farms. When bananas have scuffs, are a little too ripe, or aren’t the perfect size - they are rejected for export. We upcycle these ""imperfect"" organic bananas that used to be wasted at these farms and turn them into Barnana instead of letting these tasty morsels go to waste.",For-Profit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,2012,https://barnana.com/,https://www.facebook.com/barnana,https://twitter.com/barnana,https://www.linkedin.com/company/wholesome-valley-foods,info@barnana.com
Bay2Tray - Real Good Fish,Moss Landing,CA,USA,Local,"Bay2Tray is the solution to this. We are able to buy grenadier from the fishermen and have it processed and IQF’d (Individually Quick Frozen) locally at a price point that fits school budgets. Grenadier is a cosmetically challenged fish in the round, and is bycatch in the California black cod long line industry.",For-Profit,Prevention,Food Product Creation,Fishery Bycatch,Value-Added Processing,2009,http://www.realgoodfish.com/,https://www.facebook.com/pages/Real-Good-Fish/107837189310134,https://twitter.com/RealGoodFish,,hello@realgoodfish.com
Bio-bean,London,,United Kingdom,National,"bio-bean® is the first company in the world to industrialise the process of recycling waste coffee grounds into advanced biofuels and biochemicals. bio-bean works within the existing energy and waste infrastructure, developing sustainable products and solutions to displace conventional fuels and chemicals.",For-Profit,Recycling,Specialty Recycled Products,Industrial Products,,2013,http://www.bio-bean.com/,https://www.facebook.com/biobeanltd/,https://twitter.com/bio_bean_uk,https://www.linkedin.com/company/bio-bean,info@bio-bean.com
Biogreen 360,Portsmouth,NH,USA,National,"This self-contained, automated unit provides the ultimate on-site food waste management to companies and organizations that produce or serve food. During a 24-hour period, a supermarket or restaurant can feed up to 1,500 pounds of food waste into the unit, which liquefies and dries the waste, producing a ribbon of material weighing only 10% of the original waste.",For-Profit,Recycling,On-Site Processing Solutions,Commercial Greywater,Commercial Greywater,2011,http://biogreen360.com/,https://www.facebook.com/Biogreen360,https://twitter.com/biogreen360,https://www.linkedin.com/company/biogreen360,info@biogreen360.com
BioHiTech,Chestnut Ridge,NY,USA,National,"Eco-Safe Digester® is simple technology that eliminates food waste on-site. Since the digested food waste is converted into wastewater it is natural to use the municipal sewer systems to transport that water to wastewater treatment facilities where it will be recovered. There is no waste to store or transport, no residual solids to handle or manage, and no extra handling is required.",For-Profit,Recycling,On-Site Processing Solutions,Commercial Greywater,Commercial Greywater,1999,http://www.biohitech.com/,https://www.facebook.com/biohitech.ecosafe,https://twitter.com/biohitech,https://www.linkedin.com/company/474349,
BIOLOGIC SRC - SciCorp,Barrie,Ontario,Canada,National,One of the hardest things to deal with when it comes to compost management is compost odor.  SciCorp’s BIOLOGIC® SRC is a powerful and natural tool to eliminate those compost odors immediately and ongoing.,For-Profit,Recycling,Composting,Compost Odor Management,Centralized Composting ,2009,http://scicorp.net/compost-odor/,https://www.facebook.com/ecopossibility,https://twitter.com/ecopossibility,https://www.linkedin.com/company/scicorp-international-corp,info@sciscop.net
Biomax,,,Singapore,National,"Biomax Technologies has developed a breakthrough technology that converts organic wastes into 100% premium grade organic fertilizer at high temperature within 24 hours. The technology, called the Rapid Thermophilic Digestion System, is the fastest process so far in organic waste treatment industry. ",For-Profit,Recycling,On-Site Processing Solutions,Commercial Greywater,Commercial Greywater,2009,http://www.biomaxtech.com/web/index.php,https://www.facebook.com/Biomaxtech,,,enquiry@biomaxtech.com
BiOWiSH Technologies,Cincinnati,OH,USA,National,"BiOWiSHTM Fruit & Vegetable Wash is proven to increase shelf-life, resolve latex issues, improve banana quality, improve and conserves water, reduce chemical products and electricity usage and provide a savings in man-hours used for cleaning.",For-Profit,Prevention,Shelf-Life Extension,Coating/Barrier,,2007,http://www.biowishtechnologies.com/int/agriculture/agronomy/biowish-fruit-vegetable-wash/,,https://twitter.com/biowishtech,https://www.linkedin.com/company/biowish-technologies,contact@biowishtech.com
Bluapple,Woods Cross,UT,USA,National,"The Bluapple® is designed to provide effective ethylene gas absorption for three months in a typical home refrigerator produce bin or storage container. The active ingredient does not ""wear out"", but continues to absorb ethylene until it has reached its capacity.",For-Profit,Prevention,Shelf-Life Extension,Ethylene Inhibitor,,2008,http://www.thebluapple.com/,https://www.facebook.com/TheBluapple,,,answers@thebluapple.com
BlueCart,Washington D.C. ,,USA,National,"Connecting restaurants, suppliers, and sales reps through an easy to use web and mobile platform. BlueCart users see 5x fewer returns, 2x faster ordering and half the food waste. ",For-Profit,Prevention,Supply Chain and Operational Efficiency,Improved Inventory Management,Improved Inventory Management,2010,https://www.bluecart.com/index.html,https://www.facebook.com/bluecarthq,https://www.twitter.com/bluecarthq,https://www.linkedin.com/company/5018631,
BlueYonder,Karlsruhe,,Germany,National,"Blue Yonder Replenishment Optimization is a predictive application that allows automated store replenishment, reducing out-of-stock rates by up to 80% without increasing waste or inventory.",For-Profit,Prevention,Supply Chain and Operational Efficiency,Improved Inventory Management,Improved Inventory Management,2008,https://www.blue-yonder.com/en/retail/grocery,https://www.facebook.com/BlueYonderPredictiveApplications,https://twitter.com/BYAnalytics_en,https://www.linkedin.com/company/blueyondergmbh,info@blue-yonder.com
Blue Sphere,Charlotte,NC,USA,National,"Blue Sphere develops, owns and operates waste-to-energy facilities that are changing the world today and for tomorrow.",For-Profit,Recycling,Renewable Energy from Organics (Anaerobic Digestion),Centralized Anaerobic Digestion,Centralized Anaerobic Digestion,2007,http://bluespherecorporate.com/,https://www.facebook.com/Blue-Sphere-Inc-684324241588458/,https://twitter.com/BluesphereCorp,,info@bluespherecorporate.com
BluWrap,San Francisco,CA,USA,National,Fuel cell technology system uses its patented oxygen management techniques to create and maintain an all-natural controlled atmosphere environment that extends the shelf life of perishable proteins.,For-Profit,Prevention,Shelf-Life Extension; Supply Chain and Operational Efficiency,Cold Chain Management,Cold Chain Management,2006,http://www.bluwrap.com/,https://www.facebook.com/bluwrap,https://twitter.com/@bluwrap,,
BonApp,Montreal,Quebec,Canada,Local,"BonApp offers concrete solutions and tools so people can reduce their individual food waste and collectively make huge a difference. We are starting with food sharing, which connects those with a surplus of edible fruits, vegetables and unopened products to those who want them. ",For-Profit,Recovery,Donation Coordination,Consumer Food Recovery,,2016,http://bonapp.ca/,http://www.facebook.com/bonapp.ca,https://twitter.com/bonappmtl,,gen@bonapp.ca
Bootstrap Compost,Boston,MA,USA,Local,"Bootstrap Compost is Greater Boston’s premier year-round residential and commercial food scrap pickup service. Partnering with local farms, Bootstrap diverts thousands of pounds of organic material from landfills every week. ",For-Profit,Recycling,Composting,Community Composting,Community Composting,2011,http://bootstrapcompost.com/,https://www.facebook.com/bootstrapcompost/,https://twitter.com/compostboston,,bootstrapcompost@gmail.com
Borderlands Food Bank,Nogales,AZ,USA,Local,"Each year, Borderlands rescues between 30 to 40 million pounds of produce –more than 39 different varieties of vegetables and fruit– from over 120 donors. Less than 1% of the donations are non-produce items such as milk, canned soup, cereal and other non-perishable items.",Nonprofit,Recovery,Donation Transportation; Donated Food Processing,Donation Transportation; Donation Storage & Handling,Donation Transportation; Donation Storage & Handling,1994,http://www.borderlandsfoodbank.org/,https://www.facebook.com/Borderlands-Food-Bank-612918705445297,,,info@borderlandsfoodbank.org
Boulder Food Rescue,Boulder,CO,USA,Local,"Boulder Food Rescue is a non-profit organization whose goal is to create a more just and less wasteful food system. We facilitate the sustainable redistribution of food “waste” to agencies who serve hungry, homeless and low-income individuals while educating communities about food justice.",Nonprofit,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,2011,http://www.boulderfoodrescue.org/index.php/food-rescue-alliance/,https://www.facebook.com/boulderfoodrescue,https://twitter.com/BldrFoodRescue?lang=en,https://www.linkedin.com/company/boulder-food-rescue?trk=top_nav_home,info@boulderfoodrescue.org
Brussels Beer Project,Brussels,,Belgium,Local,"Brussels Beer Project has created the “Babylone,” the first ever contemporary beer brewed with recycled bread.",For-Profit,Prevention,Food Product Creation,Food Scraps,Value-Added Processing,2013,http://www.beerproject.be/en,https://www.facebook.com/brusselsbeerproject,https://twitter.com/beerproject_Bxl,,keepintouch@beerproject.be
BT9 - Xsense System ,London,,United Kingdom,National,"BT9’s Xsense® system is one of the leaders in providing a holistic approach to cold chain management. It proactively monitors, analyzes and disseminates relevant quality data and recommendations throughout the entire cold chain. ",For-Profit,Prevention,Supply Chain and Operational Efficiency,Cold Chain Management,Cold Chain Management,2012,http://www.bt9-tech.com/,,,https://www.linkedin.com/company/bt9-ltd-?trk=top_nav_home,info@bt9-tech.com
BuffetGO,Los Angeles,CA,USA,Local,Buffetgo tackles climate change and world hunger by making our participating restaurant's end of day food available in the last opening hour to our customers at massively discounted prices.,For-Profit,Prevention,Secondary Marketplace,Business to Buyer,Secondary Resellers,2014,http://www.buffet-go.com/,https://www.facebook.com/Buffet-Go-USA-501540973350950/?fref=ts,https://www.twitter.com/BuffetGo,,info@buffet-go.com
Bump Mark,London,,United Kingdom,National,"A bio-reactive food label, which decays to show when a product is passed its shelf life. ",For-Profit,Prevention,Consumer Education,Improved Inventory Management [Consumer Level],,2016,http://www.designbysol.co.uk/bumpmark/,,https://twitter.com/Design_By_Sol,https://www.linkedin.com/in/solveigap,
BuymeBy,New York,NY,USA,Local,We track expiration dates & use them to trigger discounts in stores. Use BuyMeBy to access live discounts on food and other perishable products.,For-Profit,Prevention,Secondary Marketplace,Business to Buyer,Secondary Resellers,2014,http://www.buymeby.com/,,https://twitter.com/buymeby?lang=en,,
C2 Sense,Boston,MA,USA,National,"C2Sense’s solution lies in developing sensors that can monitor volatiles directly related to meat/poultry/fish freshness and fruit ripeness at all stages of the supply chain. Our sensing platform will help to improve food quality and diminish food waste by allowing growers, storage facilities, distributors, retailers, and consumers to make dynamic decisions.",For-Profit,Prevention,Supply Chain and Operational Efficiency,Improved Inventory Management,Improved Inventory Management,2014,http://www.c2sense.com/,,,,Contact@C2Sense.com
CA Farm to Family,,CA,USA,Local,Farm to Family has become the nation’s leading produce recovery program. Farm to Family is a statewide program operated by the California Association of Food Banks. CAFB recruits farmers and arranges to ship their surplus produce directly from the fields to our 42 member food banks across the state.,Nonprofit,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,2006,http://www.cafoodbanks.org/farm-family,https://www.facebook.com/CaliforniaAssociationofFoodBanks,http://twitter.com/CAFoodBanks,,info@cafoodbanks.org
California Safe Soil,McClellan,CA,USA,National,"CSS provides a unique full-cycle process that will assist our supermarket customers to recycle their organics, improve store hygiene, and reduce costs, in addition to helping our agricultural customers save money, increase crop yield, and reduce nitrate runoff. We are committed to produce a safe, low cost, high volume, and high quality liquid fertilizer product, Harvest-to-Harvest™.",For-Profit,Recycling,Specialty Recycled Products,Agricultural Products,,2012,http://www.calsafesoil.com/,https://www.facebook.com/calsafesoil,https://twitter.com/calsafesoil_H2H,https://www.linkedin.com/company/6610029?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A6610029%2Cidx%3A2-1-2%2CtarId%3A1456938843684%2Ctas%3Acalifornia%20safe%20soil,
Campus Kitchens Project,Washington D.C.,,USA,National,"The Campus Kitchens Project (CKP) is a national leader in community service for students and is the future of hunger relief. CKP is empowering the next generation of leaders to implement innovative models for combating hunger, developing food systems and helping communities help themselves.",Nonprofit,Recovery,Donation Transportation; Donated Food Processing,Donation Transportation; Donation Storage & Handling; Community Kitchen; Value-Added Processing,Donation Transportation; Donation Storage & Handling; Value-Added Processing,2001,http://www.campuskitchens.org/,http://www.facebook.com/campuskitchens,http://www.twitter.com/campuskitchens,,info@campuskitchens.org
Carter's Compost,Traverse City,MI,USA,Local,Carter's Compost is Traverse City's bike powered neighborhood kitchen scrap pickup service.,For-Profit,Recycling,Composting,Community Composting,Community Composting,2012,https://carterscompost.com/,https://www.facebook.com/CartersCompost/,www.twitter.com/carterscompost,,carterscompost@gmail.com
Cerplus Foods,San Francisco,CA,USA,Local,A B2B online marketplace for food businesses to grow-to-order local produce directly from sustainable farms.,For-Profit,Prevention,Secondary Marketplace,Farm to Buyer,Secondary Resellers,2015,www.cerplusfoods.com ,https://www.facebook.com/cerplus,https://twitter.com/getcerplus,,info@cerplusfoods.com
ChicP,London,,United Kingdom,National,"ChicP is a raw vegetable hummus company producing delicious alternative dips, founded on a passionate commitment to reducing food waste.",For-Profit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,2015,http://www.chicp.co.uk/,,https://twitter.com/chicpfood,,hannah@chicp.co.uk
Church Brothers Farms,Salinas,CA,USA,National,"Church Brothers Farms sells ""value-added"" produce products which reduce food waste and labor, including a broccoli stem product that enables more of broccoli plant to be utilized and cored peppers which increase shelf life of peppers.",For-Profit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,1999,http://www.churchbrothers.com/,https://www.facebook.com/ChurchBrothersFarms,https://twitter.com/Church_Brothers,,
Circular Food,Somerton,,Australia,Local,"Our model is fresh and innovative and revolves around taking in food waste, and processing that waste through commercial scale vermiculture systems, to produce a range of high quality organic fertilisers.",For-Profit,Recycling,Composting,Centralized Composting; Community Composting,Centralized Composting; Community Composting,2015,http://www.circularfood.com/,,,,chloe@circularfood.com
Citrosol,Valencia,,Spain,National,"We are now a leader in postharvest fruit treatment and technology. Citrosol has treated over 200 million tons of fruit (citrus, pears, apples, bananas, etc.), and this has enabled us to offer the best solutions to thousands of customers all over the world and to design new developments in more effective and more efficient postharvest systems.",For-Profit,Prevention,Shelf-Life Extension,Coating/Barrier,,1960,http://www.citrosol.com/citrosol,,,,citrosol@citrosol.com
City Harvest,New York,NY,USA,Local,"City Harvest pioneered food rescue in 1982 and, this year, will collect 55 million pounds of excess food to help feed the nearly 1.4 million New Yorkers struggling to put meals on their tables. Through relationships with farms, grocers, restaurants, and manufacturers, City Harvest collects nutritious food that would otherwise go to waste and delivers it free of charge to 500 soup kitchens, food pantries and other community food programs across the five boroughs.",Nonprofit,Recovery,Donation Transportation; Donated Food Processing,Donation Transportation; Donation Storage & Handling,Donation Transportation; Donation Storage & Handling,1982,http://www.cityharvest.org/,http://www.facebook.com/CityHarvestNYC,http://twitter.com/CityHarvest,,hortiz@cityharvest.org
City Soil LLC,Boston,MA,USA,Local,"City Soil develops projects ranging from centralized in-vessel commercial composting and anaerobic digestion facilities to decentralized compost operations serving community gardens, farms, schools and and residential backyards.",Nonprofit,Recycling,Composting,Centralized Composting; Community Composting,Centralized Composting; Community Composting,2012,http://www.citysoil.org/,https://www.facebook.com/CitySoilBoston,,,info@citysoil.org
CleanWorld,Sacramento,CA,USA,National,"CleanWorld is the leading North American innovator in advanced, high-solids anaerobic digestion (HSAD) technology. ",For-Profit,Recycling,Renewable Energy from Organics (Anaerobic Digestion),Centralized Anaerobic Digestion ,Centralized Anaerobic Digestion ,2009,http://www.cleanworld.com/,https://www.facebook.com/cleanworldtech,http://twitter.com/CleanWorld_tech,http://www.linkedin.com/company/cleanworld,
Clondalkin - SkinTight Packaging,Amsterdam,,Netherlands,National,SkinTight®  is a film that surrounds the product like a second skin. The high barrier properties of the film guarantees a longer shelf life helping to reduce food waste and it provides a safe and secure seal that prevents contamination and leakage.,For-Profit,Prevention,Shelf-Life Extension,Spoilage Prevention Packaging,Spoilage Prevention Packaging,1985,https://www.clondalkingroup.com/,,https://twitter.com/ClondalkinGroup,https://www.linkedin.com/company/clondalkin-group,
Coffee Flour,Seattle,WA,USA,National,"Each year the billions of coffee beans that eventually make their way into the Americanos, lattes, and cappuccinos of the world are harvested by milling and extracting them from the coffee plant. The surrounding fruit is discarded, often dumped into rivers or left to rot in heaps. So we invented something better to do with it. Something that’s better for everyone. For food & beverage companies, it is an all-natural, clean-label, nutrient-dense and distinctly flavorful ingredient as a sustainable found food.  ",For-Profit,Prevention,Food Product Creation,Byproducts,Value-Added Processing,2014,http://www.coffeeflour.com/,https://www.facebook.com/coffeeflour,https://twitter.com/coffeeflour,https://www.linkedin.com/company/coffee-flour,hello@coffeeflour.com
Cold Hubs ,Seattle,WA,USA,National,"Our innovation, ColdHubs, is a “plug and play” modular, solar-powered walk-in cold room, for 24/7 off-grid storage and preservation of perishable foods. It adequately addresses the problem of post- harvest losses in fruits, vegetables and other perishable food. Coldhubs offers farmers with a flexible pay-as-you-store subscription model.",For-Profit,Prevention,Supply Chain and Operational Efficiency,Cold Chain Management,Cold Chain Management,,http://www.coldhubs.com/,,,,info@coldhubs.com
Commonwealth Kitchen,Boston,MA,USA,Local,"CommonWealth Kitchen is working with Third Cliff Baking, Baldor and Drexel University to take produce scraps from Baldor's produce processing facility that have been dehydrated and ground into a vegetable flour plus surplus fruit sourced from local farms as the base ingredients for baked goods.",Nonprofit,Prevention,Food Product Creation,Food Scraps; Surplus Produce,Value-Added Processing,,http://www.commonwealthkitchen.org/,https://www.facebook.com/CommonWealthKitchenBoston,https://twitter.com/cwKitchenBoston,https://www.linkedin.com/company/9430715,info@commonwealthkitchen.org
Community Composting,Rochester,NY,USA,Local,"Community Composting is a full-service food waste recycling business. We offer a popular household service as well as a commercial service for restaurants, cafes, schools, cafeterias, offices and food-service businesses.",For-Profit,Recycling,Composting,Community Composting,Community Composting,2013,https://www.communitycomposting.org/,https://www.facebook.com/communitycomposting.org/?ref=page_internal,https://twitter.com/compostwithus?lang=en,,info@communitycomposting.org
Community Harvest of Starck County,Canton,OH,USA,Local,"Community Harvest was one of the first non-profit groups in our country to create a unique solution to hunger – a solution that makes sense, is sustainable over time, and serves as a win-win for the community. We rescue fresh, healthy, prepared food and deliver it to the people and places serving the meals. There is no cost for the food, because it is all donated by area restaurants and food providers. Last year, Community Harvest rescued $1.5 Million in food and delivered approximately 950,000 meals to our hungry neighbors in Stark County.",Nonprofit,Recovery,Donation Transportation; Donated Food Processing,Donation Transportation; Donation Storage & Handling,Donation Transportation; Donation Storage & Handling,1989,http://www.communityharveststark.org/,,,,
