name,city,state,country,innovator_level,description,business_model,food_recovery_hierarchy_options,innovator_category_options,innovator_subcategory_options,solutions,founded,website,facebook_url,twitter_url,linkedIn_url,email,lat,lng
BIOFURAN MATERIALS LLC,Pittsburgh,PA,USA,local,"BioFuran Materials is developing a chemical platform for recovering 100tons/year of food wasted annually and using the collected wastes as the primary feedstock for manufacturing short chain alkanoate salts, esters, and ionic liquids, all green products, which can used in heat transfer, dehumidification, snow melting, clean hydrogen fuel cells, catalysts, chemical reagents, etc.",For Profit,Recycling,,,value-added-processing,2019,https://www.biofuranchem.com,,,https://www.linkedin.com/in/biofuran-materials-1b57a61a8/,cg2019@biofuranchem.com,40.54384995,-79.82788086
Feeding Kentucky,Frankfort,KT,USA,local,"Feeding Kentucky’s seven member food banks serve all 120 Kentucky counties in partnership with a network of over 800 local food pantries and shelters. We reach an estimated 1 in 7 of all Kentuckians each year.

Last year, our members distributed 86 million pounds of food and grocery products, which was enough to supply 72 million meals for our struggling neighbors.",Non-Profit,Recovery,,,Produce Specifications (Imperfect Produce),2001,https://feedingky.org/,,https://twitter.com/FeedingKY,https://www.linkedin.com/company/15392082/,sarah@feedingky.org,38.174227,-84.803686
Adelante Center for Entrepreneurship,Waukegan,IL,USA,local,"Adelante Center creates wealth in distressed communities through living wage job creation, community development, and entrepreneurship.  We identify the most pressing needs in the distressed communities and identify how our network of partners can help create solutions to the issues.  If there is no organization leading the effort towards a solution, we create community based programs that fulfill the need and are scalable and self-sustaining.  The communities within a 5-10 mile radius of our office are over 66% low- to mod-income and 85% of the students qualify for free lunch.  In some areas, post-Covid unemployment is 40% or more.  Our solution of creating a virtual food pantry will not only create a marketplace to delivery food directly to food insecure families 7 days a week, but also manage inventory and direct donations and purchase from food banks, grocery stores, restaurants, and local farms who aren't plugged into the consumer distribution system that traditional food pantries employ.",Non-Profit,Prevention,,,Donation Transportation,2019,http://www.adelantecenter.org,,https://twitter.com/CenterAdelante?s=17,https://www.linkedin.com/in/adelante-center-552b16189,ken@adelantecenter.org,42.3623892,-87.8342689
Reaching Out Community Services Inc,Brooklyn,NY,USA,local,"Reaching-Out Community Services leads the effort to eliminate hunger in our community and provide social services and programs that inspire self-reliance and community    
 empowerment in a dignified manner. Our Food Pantry: is a “Supermarket style Client-Choice” this enables our clients to select food items to fit their cultural, family preferences, and dietary needs.  We believe this arrangement is more dignified than pre-selecting the food and distributing it to the client The RCS food pantry also creates an environment in which the needy seniors, individuals, and families receives assistance with dignity.",Non-Profit,Prevention,,,Donation Matching Software,1992,http://www.rcsprograms.org,,,,covid-19@rcsprograms.org,40.61132813,-74.00122833
NANOMASS Corporation,Fresno,CA,USA,local,"Our Patented technology exploit the use of ultrasound for 1. Dehydrate 2. Disintegrate 3. Pathogen free. 
Number 1 problem with food waste is ability to preserve, store and transport is our innovative use of ultrasound technology.
Due to Covid-19, food (Meat, Potato) failed to go from the farmer (production) to the processors to the supply chains. Our solution is process via ultrasound to preserve, store and transport.",For Profit,Prevention,,,Spoilage Prevention Packaging,2016,http://WWW.nanomassCorp.US,,,https://www.linkedin.com/in/kmarcuschee/,k.mchee@outlook.com,36.84695,-119.7078419
Freshsurety,Altamonte Springs,FL,USA,National,"We are in the business of reducing food waste post-harvest in the perishables supply chain.  Specifically, we have identified that the root cause of supply chain food waste is the complete lack of visibility on the condition of these perishable products.  This lack of visibility is complicated by the high velocity of products moving at astronomical volumes.  We know that for perishables supply chains over 5 days long we can reduce the food wasted from the heroic hard limit of 5 tones to 3.5 tons of food per $1 million of food sales. We do not believe it is possible to achieve a reduction in food waste by coercion, rather the use of our product and economic self-interest will make it profitable to reduce waste.",For Profit,Prevention,,,Improved Inventory Management,2016,https://freshsurety.com/,,,,john.hodges@freshsurety.com,28.665665,-81.39021306
Manna - The Durango Soup Kitchen,Durango,CO,USA,local,"Manna's core objective is to provide just and equitable distribution of food within our local region. To do this Manna continues to maintain and effectively facilitate our current programs and provide healthy meals seven days per week to those in need. Manna expects to serve approximately 60,000 meals in 2020. Everyone is welcome to eat at Manna with no questions asked. We provide hot meals, to-go sack lunches and emergency food boxes seven days a week. Our food donations consist mainly of expired and damaged food from local grocery stores that would otherwise end up in a landfill. Instead, Manna makes healthy meals, decreasing food waste and creating a more equitable and sustainable footprint for La Plata County. Manna freely distributes food to our partnering organizations, such as the Durango Community Shelter, Southwest Safehouse, Durango Adult Education Center, and La Plata Family Centers Coalition.",Non-Profit,Recovery,,,Standardized Date Labeling,1986,http://MannaSoupKitchen.com,,,,director@mannasoupkitchen.com,40.741895,-73.989308
Crisp,Miami,FL,USA,National,"A third of the world's food production is wasted before it reaches a consumer. Crisp facilitates a more efficient food supply chain with technology that consolidates complex data into value-based solutions. Crisp uses every byte of data available to create a precise forecast for food suppliers, retailers and distributors in order to optimize profitability and drive production efficiency.",For Profit,Prevention,,,Improved Inventory Management,2018,https://www.gocrisp.com,,,https://www.linkedin.com/company/gocrisp,dana.miller@gocrisp.com,25.761681,-80.191788
Wildkale.com,New York,NY,USA,National,"Wildkale is an online farmers market where farmers can easily connect with and sell their food directly to local households. The packages are shipped from the farm and delivered to the consumers overnight. Like at an open-air farmers market, at Wildkale there are no middlemen, food warehouses (just the farmer’s barn), or other lengthy distribution channels. The consumers get farm fresh food that has travelled a short distance and the farmer gets paid a full retail price just like at a physical farmers market without leaving the farm.

Wildkale is a marketplace scalable on code, and as soon as a farmer anywhere in the USA creates a farmstand and receives packaging supplies (automated with UPS) they can immediately start selling to any local consumers within 300 miles radius from the farm or to 10-15 million households on average, including suburban areas. As manifested with the Covid-19 pandemic a direct connection between the farmers and the end consumer that is seamless is essential to reducing food waste and improving of the national food system.",For Profit,Prevention,,,Improved Inventory Management,2017,https://wildkale.com,,https://twitter.com/Wildkale_com,,contact@wildkale.com,,
Radiant Organic Light Technologies,Richmond,TX,USA,National,"our company is focused on reducing food waste by extending shelf life for meats and produce.  our organic light validations have proven a 40% increase in shelf life for items such as raw meat, blue berries, strawberries, lettuce etc.  extending shelf life will reduce food waste across the entire food supply chain, saving hundreds of millions of dollars annually.  our organic light systems are approved by FDA.",For Profit,Prevention,,,Spoilage Prevention Packaging,2015,http://radiantuv.com,,,http://linkedin.com/company/radiant-industrial-solutions,mikeg@radiantuv.com,29.76N,-95.369E
Agricycle Global Inc.,Milwaukee,WI,USA,National,"Agricycle is a portfolio of brands that sells fully traceable upcycled and ethically sourced products from around the world by designing simple machines that work without electricity to eradicate poverty, empower women, eliminate natural food loss and create market based solutions. Agricycle has built a network of 35,000 farmers and businesses for thousands of women led cooperative members. Agricycle upcycles the natural abundance of produce that goes to waste around the world into fully traceable products that tell a story and are sold in the United States.",For Profit,Recovery,,,Value-Added Processing,2019,https://jalifruit.co,,,https://www.linkedin.com/company/agricycleglobal,jacob@agricycleglobal.com,43.03356171,-87.91196442
trace,Stone Mountain,GA,USA,National,"Trace is a DTC hardware-enabled software platform for household food waste management. We believe the world needs millions of people doing zero waste imperfectly, not a few doing it perfectly, so we partner with people through every step of their journey to waste reduction. The Trace Smart Can is an IoT kitchen waste can that makes separating out food waste easy and sustainable through convenience and connectivity. It replaces the current trash can with one place to collect and separate trash, recycling, and food waste. The dedicated bin for food waste keeps organic waste frozen to prevent smell, mess, and pests. The Trace App uses the household’s waste data to customize a plan to improve their waste portfolio and reach their personal sustainability goals.",For Profit,Recycling,,,Waste Tracking & Analytics,2019,http://trace.tech,,,https://www.linkedin.com/company/tracetechnology/,matt@trace.tech,33.75291435,-84.37317345
EcoRich,Wharton,NJ,USA,National,EcoRich started with the idea of selling composters. Now we offer a line of home composters and a line of commercial composters which range in capacities from 20 pounds to 4000 pounds per day with the available options that make recycling easy and cost-effective for large food waste producers. Over 300 machines installed in 8 countries.,For Profit,Recycling,,,"in-vessel composting, home composting",,https://www.ecorichenv.com/,,,,info@ecorichenv.com,,
4MYCITY INC,Randallstown,MD,USA,local,"At 4MyCiTy®, Our focus is on the Importance of Environmental Sustainability. Primarily the Sustainable Management of Food in relation to food waste. Our Project is broken down into 4 phases that have all successfully launched with the focus now on growth and showing the full effectiveness of the program.",Non-Profit,Recovery,,,donation-storage-and-handling,2018,https://4mycity.us/,,,,wecare@4mycity.us,,
4P Foods Inc,Warrenton,VA,USA,local,"4P has a dual mission: to help support small farmers by giving them access to new markets, while also working to ensure that all people have access to the healthy food produced by these farmers. As a direct-to-consumer food hub, 4P Foods aggregates food from small family farms throughout the region and delivers it to households, offices, and community centers around the DC metro area. ",Non-Profit,Recovery,,,"donation-storage-and-handling, donation-transportation",2014,https://www.4pfoods.com,,,,will@4pfoods.com,,
A Greener World,Terrebonne,OR,USA,National,"A Greener World (AGW) identifies, audits, certifies and promotes practical, sustainable farming systems by supporting farmers and ranchers and informing consumers. AGW’s growing family of trusted certifications includes Certified Animal Welfare Approved by AGW, Salmon Welfare Certified by AGW, Certified Grassfed by AGW and Certified Non-GMO by AGW. Each program is designed to have positive and measurable impacts on the environment, society and animals, and to encourage truly sustainable farming practices. AGW’s standards and procedures are robust, transparent and achievable.  A nonprofit funded by public donations and membership, AGW offers a range of resources to help people make informed food choices, including an Online Directory of certified farms and products and Food Labels Exposed--a definitive guide to food label claims (available in print and online). For more information visit agreenerworld.org.  ",Non-Profit,Prevention,,,,2016,https://agreenerworld.org/,,,,emily@agreenerworld.org,,
ACME Bham LLC,Bellingham,WA,USA,local,We build strong regional food communities by making life easier for both food producers and consumers. By eliminating duplicity we help producers increase their profits and at the same time make good food affordable.,For Profit,Prevention,,,meal-kits,2011,www.theacmebox.com,,,,joy@theacmebox.com,,
Agtools Inc,Irvine,CA,USA,National,"Only SaaS platform offering real-time market intelligence to farmers and buyers to manage market volatility which reduces human, capital and resources waste  ",For Profit,Prevention,,,enhanced-demand-planning,2018,https://www.ag.tools,,,,martha@ag.tools,,
Alameda County Community Food Bank,Oakland,CA,USA,local,"The Alameda County Community Food Bank is a non-profit organization that supplies food to 275 Alameda County, California agencies including food pantries, soup kitchens, child-care and senior centers, and after-school programs, provides an emergency food helpline, teaches nutrition and hunger education, and conducts outreach about California's food stamps program CalFresh. Located in Oakland, California, the food bank distributes enough food for 300,000 meals weekly.",Non-Profit,Recovery,,,donation-storage-and-handling,1985,www.accfb.org,,,,jforogzo@accfb.org,,
"ALIVE!, Inc.",Alexandria,VA,USA,local,"ALIVE! is a 501(c)3 not-for-profit organization dedicated to providing emergency and basic needs support to children, families, and individuals living in poverty and with hunger in the City of Alexandria. Our mission is to help Alexandrians faced with emergency situations or long-term needs become capable of assuming self-reliant roles in the community.  ALIVE!’s overarching goals are to: 1) meet the emergency needs of Alexandrians in financial distress; and, 2) work with lower-income Alexandrians seeking to lead self-sufficient and productive lives. ALIVE! focuses on these goals, working to achieve measurable outcomes with direct-service programming that provides food, financial assistance, transitional housing, early education, and donated furniture and housewares to Alexandrians in need.  ",Non-Profit,Recovery,,,donation-storage-and-handling,1969,https://www.alive-inc.org/,,,,jayers@alive-inc.org,,
Aloha Harvest,Honolulu,HI,USA,local,"Aloha Harvest, founded in 1999, is the largest food rescue organization in Hawaii. In the fiscal year ending in June 2019, Aloha Harvest gathered over 1.7 million lbs of quality excess food from 250 collaborating donor organizations and delivered it to 171 social service agencies, churches and other nonprofits to provide food to 56,000 individuals in need (monthly, unduplicated). ",Non-Profit,Recovery,,,"donation-storage-and-handling, donation-transportation",1999,www.alohaharvest.org,,,,phil@alohaharvest.org,,
"An End to Ignorance, Inc.",,,,,"Bmore Community Food rescues good food that would ordinarily be thrown away, and supplement it with fresh meat and non-perishable goods. 

This work brings those who silently feed our most vulnerable city residents into the light. They have cared for isolated people long before this global pandemic.",,Recovery,,,donation-storage-and-handling,,https://www.anendtoignorance.com/,,,,jcfaulk@anendtoignorance.com,,
Arsola's Distribution Center and Community Services,Oakland,CA,USA,local,"The mission of Arsola’s Distribution Center and Community Services is to provide safe, comfortable, stable housing, and support services, to bring about social, behavioral and economic growth and advancement for individuals struggling to build a better way of life.",Non-Profit,Recovery,,,donation-storage-and-handling,1999,www.arsola.org,,,,lmccoyevents@sbcglobal.net,,
Back Pocket Provisions LLC,,,,,"Back Pocket Provisions is a social enterprise. That means that while we're a for-profit company, we make decisions about how we work based on furthering our mission, not just increasing our margin. We love ugly produce. By sourcing delicious-but-aesthetically-imperfect ingredients from our farmers, we increase their profitability by creating a dependable local market for their harvest.",For Profit,Recovery,,,"upcycling, Produce Specifications (Imperfect Produce)",,https://www.backpocketprovisions.com/,,,,will@backpocketprovisions.com,,
Big Wheelbarrow,Austin,TX,USA,local,"Provider of an online platform to create and manage local food supply chains. The company's platform enables grocery chains and foodservice companies to offer local products to their clients without additional overhead, enabling greater margin and capture market share.",For Profit,Prevention,,,,2017,www.bigwheelbarrow.com,,,,Sam@bigwheelbarrow.com,,
Birch Community Services,Portland,OR,USA,local,"Birch Community Services' mission is to provide a community where people can be responsible and accountable for meeting their basic needs, and to equip them with tools to overcome financial difficulty. ",Non-Profit,Recovery,,,"donation-storage-and-handling, donation-transportation",1992,bcsi.org,,,,valerie@bcsi.org,,
Bitter Science Company,,,,,,For Profit,Prevention,,,upcycling,,https://maryclarebutler.com/Info,,,,katie@bitterscience.com,,
Blue Strike Environmental,Monterey,CA,USA,local,"Blue Strike has worked with cities and counties across the state to establish food waste programs since 2007. The organization coordinates food waste and rescue programs for 30 special events, including the PGA TOUR. In 2018, the organization captured 14,260 pounds of edible food and diverted 87,260 in food waste diversion.",For Profit,,,,,2017,www.bluestrikeenvironmental.com,,,,rico@bluestrikeenvironmental.com,,
Bondadosa,Denver,CO,USA,local,Bondadosa is a social enterprise focused on creating access to groceries and goods by being a technology and distribution partner to non profit organizations who are addressing food insecurity through the state of Colorado.,For Profit,Recovery,,,donation-transportation,2017,https://www.bondadosa.org/,,,https://www.linkedin.com/company/27199361/admin/,ricardo@bondadosa.org,,
Boyertown Area Multi-Service,Boyertown,CA,USA,local,"The mission of Boyertown Area Multi-Service, Inc. is to provide resources and services to meet unfulfilled human and community needs in the greater Boyertown area.",Non-Profit,Recovery,,,donation-storage-and-handling,1973,www.boyertownareamulti-service.org,,,,cwysocki@boyertownareamulti-service.org,,
Bracken's Kitchen,Garden Grove,CA,USA,local,"Bracken’s Kitchen is a 501(c)(3) organization based in Orange County California.  Founded in 2013 our mission is simple: Through food recovery, culinary training and our community feeding program we are committed to recovering, re-purposing and restoring both food and lives.  What that means in practical terms is that we spend our days in the kitchen doing what we do best, cooking tasty and nutritious meals for those who struggle to feed themselves and their families.  ",Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing",2013,www.brackenskitchen.org,,,,cat@brackenskitchen.com,,
Brighter Bites,Houston,TX,USA,local,"The Brighter Bites mission is to create communities of health through fresh food. We run a three-pronged, evidence-based intervention program that delivers fresh fruits and vegetables directly into underserved families’ hands. We teach them how to use it through comprehensive nutrition education, and track their positive behavior change over time. Our ultimate goal is to positively change dietary behaviors of underserved children and their families to reduce health disparities among communities that are already disproportionately vulnerable to chronic disease.",Non-Profit,Recovery,,,"consumer-education-campaigns, donation-transportation",2012,www.brighterbites.org,,,,ragen.doyle@brighterbites.org,,
California Association of Food Banks,Oakland,CA,USA,local,The mission of the California Association of Food Banks is to end hunger in California.,Non-Profit,Recovery,,,donation-storage-and-handling,1995,http://www.cafoodbanks.org,,,,laurie@cafoodbanks.org,,
"Capro-X, Inc.",Ithaca,NY,USA,local,Capro-X is a sustainability-driven ag-tech company focused on upcycling wastes and byproducts from the dairy industry into food-grade bioproducts that would have been sourced from unsustainable palm oil.,For Profit,Recycling,,,industrial destinations,2017,www.capro-x.com,,,,guzman.juan@capro-x.com,,
Central Pennsylvania Food Bank,Harrisburg,PA,USA,local,"Central Pennsylvania Food Bank's mission is ""fighting hunger, improving lives, strengthening communities."" Together with our national partner, Feeding America, and more than 1000 local partner agencies, we provide food to approximately 400,000 individuals in need across 27 counties in central Pennsylvania annually.",Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing",1982,https://www.centralpafoodbank.org/,,,,developmentgrants@centralpafoodbank.org,,
"Community Coalition, Inc. ",Hialeah,FL,USA,local,"Community Coalition, Inc. was established in 1998 to serve the residents of Miami-Dade County. Our mission is to enable all of our participants to become self sufficient members of our community. Our home delivered meals program targets elders who are 60 years of age or older.  Participants must be nutritionally at-risk, low-income minority elders, live alone and cannot prepare meals without the help of another person due to physical limitations.  This program’s goal is to reduce hunger and food insecurity while promoting the health and well-being of older individuals in an effort to delay early institutionalization.  ",Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing, donation-transportation",1998,https://www.communitycoalition.info/,,,,cvillalobos@communitycoalitioninc.org,,
Community Food Bank of Southern Arizona (CFB),"Tucson, AZ",AZ,USA,local,"The Community Food Bank of Southern Arizona responds to the root causes of hunger and seeks to restore dignity, health, opportunity and hope to people living in poverty. Our mission is to change lives in the communities we serve by feeding the hungry today, and building a healthy, hunger-free tomorrow. ",Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing",1975,https://www.communityfoodbank.org/,,,,dyost@communityfoodbank.org,,
Community Food Share,Louisville,CO,USA,local,"Community Food Share is a the food bank serving Boulder and Broomfield counties, a part of the Denver Metro Area with a population of more than 375,000 people.  Community Food Share rescues more than 10 million pounds of food each year and supports more than 42,000 people each year with direct food distribution and through partnerships with 40 community agencies.",Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing, consumer-education-programs",1981,www.communityfoodshare.org,,,,dcoateskoebler@communityfoodshare.org,,
"Compassion Coalition, Inc.",Utica,NY,USA,local,"At Compassion Coalition, Inc. it is our mission to serve the underprivileged, the needy, the poor, the afflicted, and those lacking opportunity and basic life necessities of affordable food, clothing, housing, transportation, employment and financial needs. We will work locally, regionally and globaly to accomplish our mission with partners in the public, private, and faith-based organizational communities. We envision a world without poverty, without need, and without injustice. We will strive to promote and create a world of abundance, prosperity, full life, opportunity, equality and safety for all that we have the privilege of serving. ",Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing",1999,www.distributehope.org,,,,charlie@compassionutica.com,,
Cup O' Sugar Inc.,Cardiff-by-the-Sea,CA,USA,National,"Cup O' Sugar is on a mission to reduce food waste one connection at a time. We do this by utilizing mobile app technology where neighbors can connect over sharing and requesting food ingredients. Our 1-to-1 chat feature allows them to safely engage while adhering to the social distancing recommendations put out by each state. Less waste, more connection.",For Profit,,,,Coordination & Matching,2018,www.cuposugarapp.com,,,,admin@cuposugarapp.com,,
Diabetes Prevention and Aid Fund,Nogales,AZ,USA,local,"The mission of Borderlands Produce Rescue is to rescue produce and in turn improve the quality of peoples’ lives, by addressing their most basic of needs – accessibility to nutritious fresh produce and living in a healthy environment. For 25 years BPR has rescued approximately 32 million pounds of produce annually that ordinarily would go to a landfill and distributes it to more than 92,000 Arizona households, plus residents in 25 other states and 75 cities. BPR partners with over 60 nonprofits in Arizona through the Produce On Wheels With – Out Waste program (P.O.W.W.O.W.) to ensure access to fresh produce for Arizona’s most vulnerable residents: the homeless, the elderly, disabled, Veterans, women and children.",Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing, donation-transportation",1995,www.borderlandsproducerescue.org,,,,yolanda_soto@hotmail.com,,
"Dreaming Out Loud, Inc ",Washington,DC,USA,local,"Dreaming Out Loud's mission is to create economic opportunities for the DC metro region’s marginalized communities by building a healthy, equitable food system. During normal operations, we operate a local sourcing food hub that engages small local farms and food enterprises in feeding our region through our farmers markets and community supported agriculture program (CSA).   ",Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing, donation-transportation",2008,dreamingoutloud.org,,,,chris@dreamingoutloud.org,,
Earth Matter NY Inc.,New York,NY,USA,local,Earth Matter seeks to reduce the organic waste misdirected into the garbage stream by encouraging neighbor participation and leadership in composting.,For Profit,Recycling,,,"consumer-education-campaigns, community-composting",2009,Earth Matter.org,,,,marisa@earthmatter.org,,
Ecogistix,Pleasanton,CA,USA,local,"Developer of agricultural management platform designed to help farmers business grow and achieve digital transformations. The company's cloud-based SaaS (software as a service) platform helps in the management of inventory, order, transportation, fulfillment and team by keeping an automatic track on all the activities and functionality on real-time, enabling farmers to increase operational efficiency, improve customer satisfaction and distributors to meet safety compliance with food traceability solutions.",For Profit,Prevention,,,enhanced-demand-planning,,https://www.ecogistix.com/,,,,jose@ecogistix.com,,
Elijah's Promise,New Brunswick,NJ,USA,local,"Elijah’s Promise harnesses the power of food to break the cycle of poverty, alleviate hunger, and change lives. We fight to end hunger by serving good food for all at our community soup kitchen, providing education and jobs in the food industry through our Promise Culinary School, encouraging neighborhood agriculture at our  community garden, offering social services to those in need, engaging in community advocacy and creating social enterprise food businesses that further social good.",Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing",1989,elijahspromise.org,,,,jason.flatt@elijahspromise.org,,
Fair Trade USA,Oakland,CA,USA,local,"Fair Trade USA enables sustainable development and community empowerment by cultivating a more equitable global trade model that benefits farmers, workers, fishermen, consumers, industry, and the earth. We achieve our mission by certifying and promoting Fair Trade products.  ",Non-Profit,,,,,1998,https://www.fairtradecertified.org/,,,,ksalmon@fairtradeusa.org,,
Farm Share,Homestead,FL,USA,local,"Established in 1991, Farm Share is a 501(c)(3) non-profit organization works daily to make sure that food-insecure Floridians receive the food and support they need. 

To accomplish this task, Farm Share partners with more than 2,000 food pantries, churches, schools and other nonprofits throughout Florida to distribute food every single day. 

Last year, Farm Share distributed more than 88 million pounds of food to more than 17.5 million households residing in all of Florida’s 67 counties. Of the 88 million pounds of food distributed, more than 20 million pounds were fresh healthy fruits and vegetables.",Non-Profit,Prevention,,,"donation-storage-and-handling, donation-transportation",1991,farmshare.org,,,,wendy@farmshare.org,,
Farm to Pantry,Heardsburg,CA,USA,local,"Gleaning organization that rescues surplus nuts, fruits, and vegetables from the Sonoma County. This product is then packed, sorted, weighed, boxed, and delivered by volunteers.",Non-Profit,Recovery,,,"donation-storage-and-handling, donation-transportation",,https://www.farmtopantry.org/,,,,kellynconrad3@gmail.com,,
FarmDrop L3C,Portland,ME,USA,local,"FarmDrop is a social enterprise online farmers market, with a shared revenue model that supports non-profit organizations and small-scale farmers viability. When implementing a FarmDrop, communities are able to reduce on-farm food loss and waste, and ensure safe access to healthy nutrition for all.",For Profit,Prevention,,,,2018,www.farmdrop.us,,,,hannah@farmdrop.us,,
FarmLink,Los Angeles,CA,USA,local,FarmLink works to connect farms that have surplus food during the COVID-19 pandemic with food banks that experiencing a massive uptick in demand.,Non-Profit,Recovery,,,Coordination & Matching,2020,www.thefarmlinkproject.org,,,,contact@thefarmlinkproject.org,,
